feature,importance
pairFAIL__bc2_pressure_at_serbmax__then__bc2_pressure_at_serbmax,0.00015438212451551064
cnt_PASS__position_verify,0.00015416492383654368
cnt_PASS__test_lcm2_park_on,0.0001528671420390631
fail_any__t4_initial_pressure,0.00015276678778318017
cnt_PASS__check_rl_spare2_off,0.00015207984869682162
cnt_PASS__check_ate_mjf1_nc_off,0.00015200504426740434
cnt_PASS__test_lcu2_tplpress_2_5v,0.00015115883220987017
cnt_PASS__mac_address,0.00014962323502630003
cnt_PASS__tlp2_mflexx_tlp2_bench_at_6_bar,0.00014950093654406168
cnt_DONE__ev_fill1_activation,0.00014921733558695928
cnt_PASS__check_ai_spare2_4ma,0.0001491104397131373
cnt_PASS__check_ai_spare2_12ma,0.00014874073089864116
cnt_PASS__check_vanalog_whit_load,0.00014766423220047642
cnt_PASS__qr_code_printing,0.00014652290350137154
cnt_PASS__check_monitoring_15v_iso,0.0001456653228372989
cnt_PASS__check_park_boost_with_spd2_18hz,0.00014330822627376774
cnt_DONE__test_iot_module,0.00014220302844682983
cnt_PASS__tlp2_at_5_bar,0.00014201873272130656
cnt_PASS__check_uut_diagnostic_ev_vent1_short_and_ev_fill1_short,0.00014097661692831671
cnt_PASS__test_bc2_tpl_0_1bar_t12_pressure,0.00014090038192255238
cnt_PASS__check_do_spare3_on,0.00014028633298732802
cnt_PASS__tlp2_mflexx_tlp2_bench_at_5_45_bar,0.00013994274135602485
cnt_PASS__check_bc2_t12_leakage,0.00013968313112506508
cnt_PASS__test_ba_mgd_min_t8_pressure,0.00013776986224070092
cnt_PASS__check_uut_status_ev_vent1_off_and_ev_fill1_on,0.00013763142280531274
cnt_PASS__check_15v_iso_s2_15v,0.00013455728174797374
cnt_PASS__bc1_electronic_pressure_switch_on_brake_released,0.000134348842943388
cnt_PASS__pressure_leakage_in_5_min,0.00013355822599749032
cnt_PASS__check_monitoring_vanalog,0.00013083225215450954
cnt_PASS__wait_5_minutes_for_pressure_stabilization,0.0001302059322616946
cnt_PASS__check_uut_diagnostic_ev_air_ok,0.00012850519950433724
cnt_PASS__check_ar2_t2_leakage,0.00012717850191790725
cnt_PASS__tsp2_at_5_bar,0.0001268702856925087
cnt_PASS__record_bc2_0bar_t12_initial_pressure,0.00012628599900613025
cnt_PASS__check_wsp_vent2_monostable_time,0.00012154811633343088
cnt_PASS__test_lcu2_tapress_0v,0.0001213819164621924
cnt_PASS__check_15v_iso_a2_with_load,0.00012042518397157334
